sequence,id,r,theta,phi,acc_x,acc_y,acc_z,abs_a,g_x,g_y,g_z,abs_g,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,delta_abs_acc,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,label
298,17000000,2831.822,45.125,-5.662,1997,-198,1998,2831.822,12040,55930,46970,34414,1891.337,33.747,-152.314,2152,-300,1896,1891.337,6510,57120,71960,8792,swipe left
299,17000000,3329.362,121.953,135.014,-1998,1997,-1762,3329.362,-132860,30520,-554190,59893,497.54,76.828,140.676,-3995,2195,-1564,497.54,-144900,-25410,-601160,25479,swipe left
300,17000000,1706.438,31.24,8.185,876,126,1459,1706.438,-29400,-53130,120610,32466,-1622.924,-90.713,-126.829,2874,-1871,-538,-1622.924,103460,-83650,674800,-27427,swipe left
305,18000000,1003.916,9.2,149.281,-138,82,991,1003.916,-1260,-6160,-4410,7679,5.007,-1.666,-8.239,36,10,919,5.007,-140,-700,1890,-732,swipe left
306,18000000,2833.29,45.155,-6.229,1997,-218,1998,2833.29,59850,73010,-45920,49307,1829.374,35.955,-155.51,2135,-300,1916,1829.374,61110,79170,-41510,41628,swipe left
307,18000000,2863.232,80.612,135.014,-1998,1997,467,2863.232,-203280,42280,-536060,63664,29.942,35.457,141.243,-3995,2215,685,29.942,-263130,-30730,-490140,14357,swipe left
308,18000000,1515.563,22.321,8.693,569,87,1402,1515.563,10360,-43330,55440,27630,-1347.669,-58.291,-126.321,2567,-1910,-595,-1347.669,213640,-85610,591500,-36034,swipe left
313,19000000,1310.606,29.738,6.447,646,73,1138,1310.606,49350,6860,-195020,43134,348.544,8.878,-157.975,976,-19,1046,348.544,53550,14490,-198170,33873,swipe left
314,19000000,3052.269,112.255,135.014,-1998,1997,-1156,3052.269,-155330,-109830,478590,56968,1741.663,82.517,128.567,-2644,1924,-1229,1741.663,-204680,-116690,673610,13834,swipe left
315,19000000,2590.217,46.163,2.883,1866,94,1794,2590.217,-8260,-22120,-3500,23869,-462.052,-66.092,-132.131,3864,-1903,-203,-462.052,147070,87710,-482090,-33099,swipe left
316,19000000,959.802,28.436,-179.247,-457,-6,844,959.802,12110,12040,-18620,25264,-1630.415,-17.727,-182.13,-2323,-100,750,-1630.415,20370,34160,-15120,1395,swipe left
